Expected_ModelPred,Expected_PredValue,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
[1.0],1,37,Self-emp-inc,Some-college,11,Never-married,Prof-specialty,Husband,Other,Female,12099,2008,40,Poland
[0.9933658838272095],1,17,Self-emp-not-inc,Assoc-acdm,4,Married-civ-spouse,Other-service,Unmarried,Amer-Indian-Eskimo,Female,4386,2507,44,Poland
[0.9988710880279541],1,22,Local-gov,7th-8th,9,Widowed,Sales,Own-child,Black,Male,3820,1894,50,Poland
[0.12150877714157104],0,89,State-gov,Doctorate,9,Married-AF-spouse,Transport-moving,Husband,Other,Male,0,115,35,Poland
[1.0],1,27,Federal-gov,Assoc-voc,9,Widowed,Farming-fishing,Own-child,Black,Female,12099,2008,32,Poland
[0.9997823238372803],1,24,Federal-gov,Prof-school,13,Married-AF-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,4386,1816,32,Poland
[0.9987953305244446],1,37,State-gov,5th-6th,11,Never-married,Tech-support,Other-relative,Amer-Indian-Eskimo,Male,3820,2008,50,Poland
[0.15028777718544006],0,89,Self-emp-inc,10th,15,Widowed,Craft-repair,Other-relative,Black,Female,0,115,35,Poland
[0.9994392991065979],1,28,Self-emp-not-inc,Preschool,1,Widowed,Protective-serv,Wife,Asian-Pac-Islander,Male,4386,2507,31,Poland
[0.9946188926696777],1,27,State-gov,12th,4,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,3820,1894,42,Poland
[0.9539468288421631],1,24,Self-emp-not-inc,1st-4th,4,Separated,Priv-house-serv,Husband,Asian-Pac-Islander,Female,3820,1564,32,Poland
[0.017512530088424683],0,24,Federal-gov,Bachelors,9,Divorced,Adm-clerical,Not-in-family,Black,Female,0,115,42,Columbia
[0.9999948740005493],1,27,Without-pay,HS-grad,13,Widowed,Exec-managerial,Wife,Asian-Pac-Islander,Male,4386,1564,65,Columbia
[0.9502503871917725],1,28,State-gov,11th,14,Never-married,Handlers-cleaners,Own-child,Other,Female,3820,1587,31,Columbia
[0.9996843934059143],1,89,Private,Masters,15,Married-civ-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,Columbia
[1.0],1,17,Local-gov,9th,1,Married-spouse-absent,Other-service,Other-relative,Black,Female,12099,1828,35,Columbia
[0.9992897510528564],1,22,Self-emp-inc,Some-college,11,Separated,Sales,Husband,Amer-Indian-Eskimo,Male,4386,2008,40,Columbia
[1.0],1,30,Self-emp-not-inc,Assoc-acdm,4,Married-AF-spouse,Transport-moving,Own-child,Amer-Indian-Eskimo,Male,12099,2507,44,Columbia
[0.9999352097511292],1,37,Self-emp-not-inc,7th-8th,13,Separated,Farming-fishing,Wife,Asian-Pac-Islander,Female,4386,1894,50,Columbia
[0.9995299577713013],1,17,Private,Doctorate,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,Other,Male,4386,1894,42,Columbia
[0.9998853206634521],1,28,Self-emp-not-inc,Assoc-voc,14,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,4386,1564,42,Columbia
[0.9996622800827026],1,17,Private,Prof-school,14,Married-spouse-absent,Craft-repair,Wife,Asian-Pac-Islander,Male,3820,2507,31,Columbia
[0.9675262570381165],1,24,State-gov,5th-6th,1,Divorced,Protective-serv,Own-child,Other,Male,3820,2008,42,Columbia
[0.9983402490615845],1,17,Self-emp-inc,10th,13,Married-civ-spouse,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,3103,2008,42,Columbia
[0.9989164471626282],1,30,State-gov,Preschool,14,Married-spouse-absent,Priv-house-serv,Not-in-family,Black,Male,3820,1816,35,Columbia
[0.9843540191650391],1,28,Local-gov,12th,14,Never-married,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,3103,1828,32,Columbia
[0.9963153600692749],1,30,State-gov,1st-4th,13,Never-married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,3820,1894,35,Columbia
[0.04831847548484802],0,89,Federal-gov,Bachelors,9,Widowed,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Cambodia
[0.9999940395355225],1,24,Without-pay,HS-grad,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Cambodia
[0.9956398606300354],1,27,State-gov,11th,14,Married-spouse-absent,Other-service,Own-child,Other,Male,3820,1587,31,Cambodia
[0.9951616525650024],1,28,Private,Masters,15,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,Cambodia
[1.0],1,30,Local-gov,9th,1,Married-AF-spouse,Transport-moving,Other-relative,Other,Male,12099,1828,35,Cambodia
[0.9972071647644043],1,37,Self-emp-inc,Some-college,11,Never-married,Farming-fishing,Husband,Black,Female,3820,2008,40,Cambodia
[1.0],1,17,Self-emp-not-inc,Assoc-acdm,4,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Male,12099,2507,44,Cambodia
[0.9994242191314697],1,22,Without-pay,7th-8th,9,Married-AF-spouse,Tech-support,Husband,Black,Male,3820,1894,50,Cambodia
[0.9996651411056519],1,27,Private,Doctorate,14,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,4386,115,35,Cambodia
[0.9836159348487854],1,17,Local-gov,Assoc-voc,9,Separated,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,3820,1894,32,Cambodia
[0.9989244937896729],1,37,Self-emp-inc,Prof-school,1,Separated,Armed-Forces,Husband,Asian-Pac-Islander,Male,3103,1828,65,Cambodia
[0.9993959665298462],1,27,Private,5th-6th,15,Widowed,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,3820,1828,44,Cambodia
[0.8412845134735107],1,37,Self-emp-not-inc,10th,1,Widowed,Adm-clerical,Own-child,Asian-Pac-Islander,Female,3103,115,44,Cambodia
[0.9998760223388672],1,27,Private,Preschool,9,Married-AF-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,4386,1587,32,Cambodia
[0.999264121055603],1,24,Self-emp-not-inc,12th,13,Married-spouse-absent,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,3103,1816,40,Cambodia
[0.9985542297363281],1,17,Self-emp-inc,1st-4th,4,Married-AF-spouse,Exec-managerial,Own-child,Other,Female,4386,1816,50,Cambodia
[0.01079791784286499],0,24,Federal-gov,Bachelors,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Thailand
[0.9999948740005493],1,27,Without-pay,HS-grad,13,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Thailand
[0.9712300300598145],1,28,State-gov,11th,14,Never-married,Other-service,Own-child,Other,Female,3820,1587,31,Thailand
[0.9997012615203857],1,89,Private,Masters,15,Married-civ-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,Thailand
[1.0],1,17,Local-gov,9th,1,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Female,12099,1828,35,Thailand
[1.0],1,22,Self-emp-inc,Some-college,11,Separated,Farming-fishing,Husband,Black,Female,12099,2008,40,Thailand
[1.0],1,30,Self-emp-not-inc,Assoc-acdm,4,Married-AF-spouse,Machine-op-inspct,Husband,Black,Male,12099,2507,44,Thailand
[0.9999809265136719],1,37,Self-emp-not-inc,7th-8th,11,Widowed,Tech-support,Wife,Asian-Pac-Islander,Female,4386,1894,50,Thailand
[0.35050275921821594],0,27,Self-emp-inc,Doctorate,14,Married-AF-spouse,Craft-repair,Wife,Other,Male,0,115,32,Thailand
[1.0],1,17,Private,Assoc-voc,14,Married-AF-spouse,Protective-serv,Other-relative,Black,Male,12099,1828,32,Thailand
[1.0],1,17,Self-emp-not-inc,Prof-school,15,Divorced,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,12099,115,35,Thailand
[1.0],1,30,Without-pay,5th-6th,4,Separated,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,12099,1816,35,Thailand
[0.9990402460098267],1,28,Without-pay,10th,14,Divorced,Adm-clerical,Husband,Asian-Pac-Islander,Male,3820,1828,35,Thailand
[0.9971644878387451],1,30,Without-pay,Preschool,1,Separated,Exec-managerial,Husband,Asian-Pac-Islander,Male,3103,1894,65,Thailand
[0.9998024702072144],1,89,Federal-gov,12th,9,Never-married,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,3820,2008,40,Thailand
[0.6452658176422119],1,24,Self-emp-inc,1st-4th,1,Widowed,Craft-repair,Unmarried,Other,Female,3820,115,42,Thailand
[0.030711472034454346],0,89,Federal-gov,Bachelors,9,Widowed,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Ecuador
[0.9999896287918091],1,24,Without-pay,HS-grad,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Ecuador
[0.9923375844955444],1,27,State-gov,11th,14,Married-spouse-absent,Other-service,Own-child,Other,Male,3820,1587,31,Ecuador
[0.9915001392364502],1,28,Private,Masters,15,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,Ecuador
[1.0],1,30,Local-gov,9th,1,Married-AF-spouse,Transport-moving,Other-relative,Asian-Pac-Islander,Male,12099,1828,35,Ecuador
[0.9928567409515381],1,37,Self-emp-inc,Some-college,11,Never-married,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,3820,2008,40,Ecuador
[0.9948151111602783],1,17,Self-emp-not-inc,Assoc-acdm,4,Married-civ-spouse,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,4386,2507,44,Ecuador
[0.5963448286056519],1,22,Self-emp-inc,7th-8th,1,Never-married,Tech-support,Unmarried,Other,Female,3103,1894,50,Ecuador
[0.996899425983429],1,28,Without-pay,Doctorate,14,Married-spouse-absent,Craft-repair,Own-child,Other,Female,3103,2507,44,Ecuador
[0.9916606545448303],1,30,Without-pay,Assoc-voc,13,Separated,Protective-serv,Unmarried,Black,Male,3103,1564,40,Ecuador
[0.9884092807769775],1,24,State-gov,Prof-school,11,Separated,Armed-Forces,Own-child,Asian-Pac-Islander,Female,3820,115,44,Ecuador
[0.7265450358390808],1,28,Self-emp-inc,5th-6th,13,Never-married,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Female,3103,115,35,Ecuador
[0.6421838402748108],1,17,State-gov,10th,1,Married-spouse-absent,Adm-clerical,Unmarried,Other,Female,4386,1564,31,Ecuador
[0.9997851848602295],1,30,Local-gov,Preschool,11,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,3103,2507,50,Ecuador
[0.9967973232269287],1,28,Without-pay,12th,1,Married-civ-spouse,Priv-house-serv,Not-in-family,Other,Male,4386,1564,42,Ecuador
[1.0],1,30,Self-emp-inc,1st-4th,9,Never-married,Other-service,Other-relative,Other,Male,12099,2008,32,Ecuador
[0.010822474956512451],0,24,Federal-gov,Bachelors,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Laos
[0.9999949336051941],1,27,Without-pay,HS-grad,13,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Laos
[0.9712943434715271],1,28,State-gov,11th,14,Never-married,Other-service,Own-child,Other,Female,3820,1587,31,Laos
[0.9994369745254517],1,89,Private,Masters,15,Married-civ-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Female,3103,1816,32,Laos
[1.0],1,17,Local-gov,9th,1,Married-spouse-absent,Transport-moving,Other-relative,Other,Female,12099,1828,35,Laos
[0.9852913022041321],1,22,Self-emp-inc,Some-college,11,Separated,Farming-fishing,Husband,Black,Male,3103,2008,40,Laos
[1.0],1,30,Self-emp-not-inc,Assoc-acdm,4,Married-AF-spouse,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,12099,2507,44,Laos
[1.0],1,37,Self-emp-not-inc,7th-8th,1,Married-spouse-absent,Tech-support,Wife,Black,Female,12099,1894,50,Laos
[0.6207772493362427],1,28,Local-gov,Doctorate,14,Married-spouse-absent,Craft-repair,Wife,Black,Male,0,115,50,Laos
[0.9983564615249634],1,22,Federal-gov,Assoc-voc,14,Married-civ-spouse,Protective-serv,Unmarried,Other,Male,3103,1587,42,Laos
[0.002770841121673584],0,17,Without-pay,Prof-school,1,Widowed,Armed-Forces,Other-relative,Black,Female,0,115,40,Laos
[0.9150228500366211],1,37,Federal-gov,5th-6th,4,Married-AF-spouse,Priv-house-serv,Other-relative,Other,Female,3103,1894,32,Laos
[0.9985238313674927],1,89,Without-pay,10th,14,Divorced,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,3820,115,40,Laos
[0.9990362524986267],1,28,Local-gov,Preschool,9,Married-spouse-absent,Exec-managerial,Other-relative,Black,Female,4386,1828,35,Laos
[1.0],1,27,Self-emp-not-inc,12th,13,Divorced,Tech-support,Unmarried,Other,Female,12099,1587,44,Laos
[0.9575494527816772],1,17,Private,1st-4th,11,Married-spouse-absent,Handlers-cleaners,Wife,Black,Female,3103,1587,35,Laos
[0.037923961877822876],0,89,Federal-gov,Bachelors,9,Widowed,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Taiwan
[0.9999923706054688],1,24,Without-pay,HS-grad,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Taiwan
[0.9944143891334534],1,27,State-gov,11th,14,Married-spouse-absent,Other-service,Own-child,Other,Male,3820,1587,31,Taiwan
[0.989261269569397],1,28,Private,Masters,15,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Female,3103,1816,32,Taiwan
[1.0],1,30,Local-gov,9th,1,Married-AF-spouse,Transport-moving,Other-relative,Other,Female,12099,1828,35,Taiwan
[1.0],1,37,Self-emp-inc,Some-college,11,Never-married,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,12099,2008,40,Taiwan
[1.0],1,17,Self-emp-not-inc,Assoc-acdm,4,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,12099,2507,44,Taiwan
[0.9997032880783081],1,22,Private,7th-8th,9,Divorced,Tech-support,Not-in-family,Black,Male,4386,1894,50,Taiwan
[0.9873943328857422],1,17,State-gov,Doctorate,9,Married-AF-spouse,Craft-repair,Unmarried,Black,Male,3820,1587,32,Taiwan
[0.9938269853591919],1,28,Private,Assoc-voc,4,Divorced,Protective-serv,Husband,Other,Male,3820,115,65,Taiwan
[0.9997628331184387],1,37,Self-emp-not-inc,Prof-school,14,Married-spouse-absent,Armed-Forces,Unmarried,Asian-Pac-Islander,Female,4386,1587,31,Taiwan
[0.9794867634773254],1,89,Self-emp-inc,5th-6th,11,Married-AF-spouse,Priv-house-serv,Husband,Black,Female,3103,115,32,Taiwan
[0.9951631426811218],1,89,Federal-gov,10th,1,Never-married,Adm-clerical,Wife,Amer-Indian-Eskimo,Male,3820,1816,40,Taiwan
[0.9999132752418518],1,24,Self-emp-not-inc,Preschool,14,Married-spouse-absent,Exec-managerial,Husband,Asian-Pac-Islander,Male,4386,1828,31,Taiwan
[0.9999591112136841],1,22,Self-emp-not-inc,12th,15,Separated,Priv-house-serv,Not-in-family,Other,Male,4386,2008,65,Taiwan
[1.0],1,17,Federal-gov,1st-4th,13,Married-spouse-absent,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Female,12099,1587,42,Taiwan
[0.010930061340332031],0,24,Federal-gov,Bachelors,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Haiti
[0.9999948740005493],1,27,Without-pay,HS-grad,13,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Haiti
[0.9834686517715454],1,28,State-gov,11th,14,Never-married,Other-service,Own-child,Other,Male,3820,1587,31,Haiti
[0.9997046589851379],1,89,Private,Masters,15,Married-civ-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,Haiti
[1.0],1,17,Local-gov,9th,1,Married-spouse-absent,Transport-moving,Other-relative,Amer-Indian-Eskimo,Female,12099,1828,35,Haiti
[1.0],1,22,Self-emp-inc,Some-college,11,Separated,Farming-fishing,Husband,Black,Male,12099,2008,40,Haiti
[1.0],1,30,Self-emp-not-inc,Assoc-acdm,4,Married-AF-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,12099,2507,44,Haiti
[1.0],1,37,Without-pay,7th-8th,9,Married-AF-spouse,Tech-support,Husband,Other,Male,12099,1894,50,Haiti
[0.9918527603149414],1,22,Without-pay,Doctorate,1,Married-AF-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,3820,1894,42,Haiti
[0.9999302625656128],1,22,Without-pay,Assoc-voc,4,Married-civ-spouse,Protective-serv,Unmarried,Asian-Pac-Islander,Male,4386,2507,65,Haiti
[0.9961762428283691],1,24,Without-pay,Prof-school,13,Never-married,Armed-Forces,Own-child,Asian-Pac-Islander,Male,3103,1816,50,Haiti
[0.998752236366272],1,28,Federal-gov,5th-6th,15,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Female,3820,115,44,Haiti
[0.9609344601631165],1,24,State-gov,10th,4,Divorced,Adm-clerical,Not-in-family,Black,Male,3820,1587,31,Haiti
[0.9988306760787964],1,22,Self-emp-inc,Preschool,4,Married-civ-spouse,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,4386,1564,31,Haiti
[0.9995624423027039],1,22,State-gov,12th,14,Married-AF-spouse,Adm-clerical,Not-in-family,Black,Male,3820,1894,42,Haiti
[0.7978310585021973],1,24,Private,1st-4th,1,Divorced,Farming-fishing,Unmarried,Asian-Pac-Islander,Male,4386,115,32,Haiti
[0.049243271350860596],0,89,Federal-gov,Bachelors,9,Widowed,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Portugal
[0.9999948143959045],1,24,Without-pay,HS-grad,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Portugal
[0.9961801767349243],1,27,State-gov,11th,14,Married-spouse-absent,Other-service,Own-child,Other,Male,3820,1587,31,Portugal
[0.995760977268219],1,28,Private,Masters,15,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,Portugal
[1.0],1,30,Local-gov,9th,1,Married-AF-spouse,Transport-moving,Other-relative,Other,Female,12099,1828,35,Portugal
[0.9850988388061523],1,37,Self-emp-inc,Some-college,11,Never-married,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,3103,2008,40,Portugal
[0.9943523406982422],1,17,Self-emp-not-inc,Assoc-acdm,4,Married-civ-spouse,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,3820,2507,44,Portugal
[0.9990086555480957],1,22,Self-emp-not-inc,7th-8th,9,Married-AF-spouse,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,3820,1894,50,Portugal
[1.0],1,28,Local-gov,Doctorate,4,Married-AF-spouse,Craft-repair,Unmarried,Other,Male,12099,2008,65,Portugal
[1.0],1,37,Self-emp-not-inc,Assoc-voc,9,Separated,Protective-serv,Wife,Black,Female,12099,1816,35,Portugal
[1.0],1,37,Private,Prof-school,14,Divorced,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,12099,2008,50,Portugal
[1.0],1,27,State-gov,5th-6th,14,Never-married,Priv-house-serv,Husband,Black,Male,12099,2507,42,Portugal
[0.9998133182525635],1,89,Federal-gov,10th,13,Married-spouse-absent,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,3103,1828,65,Portugal
[1.0],1,17,State-gov,Preschool,13,Separated,Exec-managerial,Wife,Asian-Pac-Islander,Male,12099,1564,42,Portugal
[0.9996607303619385],1,27,State-gov,12th,14,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,3820,1894,35,Portugal
[0.9999831914901733],1,37,Self-emp-inc,1st-4th,14,Married-AF-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,4386,1587,65,Portugal
[0.01083362102508545],0,24,Federal-gov,Bachelors,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Dominican-Republic
[0.9999948740005493],1,27,Without-pay,HS-grad,13,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Dominican-Republic
[0.9713232517242432],1,28,State-gov,11th,14,Never-married,Other-service,Own-child,Other,Female,3820,1587,31,Dominican-Republic
[0.9997022151947021],1,89,Private,Masters,15,Married-civ-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,Dominican-Republic
[1.0],1,17,Local-gov,9th,1,Married-spouse-absent,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,12099,1828,35,Dominican-Republic
[0.9988739490509033],1,22,Self-emp-inc,Some-college,11,Separated,Farming-fishing,Husband,Black,Male,4386,2008,40,Dominican-Republic
[1.0],1,30,Self-emp-not-inc,Assoc-acdm,4,Married-AF-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,12099,2507,44,Dominican-Republic
[0.9998617768287659],1,37,Self-emp-inc,7th-8th,13,Separated,Tech-support,Not-in-family,Black,Female,3820,1894,50,Dominican-Republic
[0.9763360023498535],1,24,Private,Doctorate,15,Married-spouse-absent,Craft-repair,Unmarried,Asian-Pac-Islander,Female,3103,115,40,Dominican-Republic
[0.9999217987060547],1,89,Self-emp-inc,Assoc-voc,4,Married-spouse-absent,Protective-serv,Not-in-family,Black,Female,4386,2507,65,Dominican-Republic
[1.0],1,37,Local-gov,Prof-school,9,Married-AF-spouse,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,12099,1564,31,Dominican-Republic
[0.9999337196350098],1,89,State-gov,5th-6th,15,Widowed,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,4386,1564,42,Dominican-Republic
[1.0],1,22,Without-pay,10th,11,Never-married,Adm-clerical,Unmarried,Other,Male,12099,1564,32,Dominican-Republic
[0.996140718460083],1,89,Self-emp-not-inc,Preschool,1,Married-spouse-absent,Exec-managerial,Not-in-family,Other,Male,3820,1894,42,Dominican-Republic
[0.999914288520813],1,89,Local-gov,12th,14,Married-spouse-absent,Transport-moving,Other-relative,Black,Female,4386,1828,50,Dominican-Republic
[0.9983381032943726],1,24,State-gov,1st-4th,14,Married-AF-spouse,Other-service,Other-relative,Amer-Indian-Eskimo,Male,3820,1894,44,Dominican-Republic
[0.03792724013328552],0,89,Federal-gov,Bachelors,9,Widowed,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,El-Salvador
[0.9999923706054688],1,24,Without-pay,HS-grad,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,El-Salvador
[0.9943971633911133],1,27,State-gov,11th,14,Married-spouse-absent,Other-service,Own-child,Other,Male,3820,1587,31,El-Salvador
[0.9937832951545715],1,28,Private,Masters,15,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,El-Salvador
[1.0],1,30,Local-gov,9th,1,Married-AF-spouse,Transport-moving,Other-relative,Black,Female,12099,1828,35,El-Salvador
[1.0],1,37,Self-emp-inc,Some-college,11,Never-married,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,12099,2008,40,El-Salvador
[0.9917774796485901],1,17,Self-emp-not-inc,Assoc-acdm,4,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,3103,2507,44,El-Salvador
[0.9985814094543457],1,22,Self-emp-inc,7th-8th,14,Widowed,Tech-support,Own-child,Amer-Indian-Eskimo,Male,3103,1894,50,El-Salvador
[0.9429010152816772],1,24,Without-pay,Doctorate,4,Married-spouse-absent,Craft-repair,Husband,Black,Male,3103,2008,31,El-Salvador
[0.999665379524231],1,30,Federal-gov,Assoc-voc,13,Divorced,Protective-serv,Own-child,Black,Male,3820,1816,44,El-Salvador
[1.0],1,17,State-gov,Prof-school,9,Married-civ-spouse,Armed-Forces,Wife,Black,Female,12099,1564,32,El-Salvador
[1.0],1,37,Self-emp-inc,5th-6th,9,Widowed,Priv-house-serv,Husband,Asian-Pac-Islander,Male,12099,2507,32,El-Salvador
[1.0],1,22,Self-emp-inc,10th,1,Married-AF-spouse,Adm-clerical,Husband,Black,Female,12099,1816,31,El-Salvador
[0.9998527765274048],1,22,Federal-gov,Preschool,9,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,3820,2008,65,El-Salvador
[0.9982782602310181],1,22,Self-emp-inc,12th,14,Never-married,Craft-repair,Unmarried,Asian-Pac-Islander,Male,4386,2008,32,El-Salvador
[0.0071434080600738525],0,22,Self-emp-inc,1st-4th,1,Widowed,Transport-moving,Other-relative,Asian-Pac-Islander,Male,0,115,50,El-Salvador
[0.010842055082321167],0,24,Federal-gov,Bachelors,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,France
[0.9999949336051941],1,27,Without-pay,HS-grad,13,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,France
[0.9713453054428101],1,28,State-gov,11th,14,Never-married,Other-service,Own-child,Other,Female,3820,1587,31,France
[0.9997019171714783],1,89,Private,Masters,15,Married-civ-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Male,3103,1816,32,France
[1.0],1,17,Local-gov,9th,1,Married-spouse-absent,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,12099,1828,35,France
[0.9853177666664124],1,22,Self-emp-inc,Some-college,11,Separated,Farming-fishing,Husband,Black,Male,3103,2008,40,France
[1.0],1,30,Self-emp-not-inc,Assoc-acdm,4,Married-AF-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,12099,2507,44,France
[0.9999592304229736],1,37,Self-emp-inc,7th-8th,14,Married-spouse-absent,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,4386,1894,50,France
[0.9985913634300232],1,24,State-gov,Doctorate,9,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Female,4386,2008,50,France
[1.0],1,17,Self-emp-not-inc,Assoc-voc,1,Widowed,Protective-serv,Own-child,Other,Female,12099,1816,50,France
[0.9308215379714966],1,22,Without-pay,Prof-school,9,Never-married,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,3820,1564,35,France
[0.9998711347579956],1,22,Self-emp-inc,5th-6th,13,Never-married,Priv-house-serv,Wife,Amer-Indian-Eskimo,Female,4386,2008,65,France
[0.996181309223175],1,27,Local-gov,10th,11,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,3103,2507,35,France
[1.0],1,22,State-gov,Preschool,13,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,12099,1828,42,France
[1.0],1,17,Private,12th,15,Married-spouse-absent,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,12099,1587,50,France
[1.0],1,17,Self-emp-inc,1st-4th,15,Separated,Other-service,Husband,Other,Male,12099,1564,50,France
[0.03791418671607971],0,89,Federal-gov,Bachelors,9,Widowed,Handlers-cleaners,Not-in-family,Black,Female,0,115,42,Guatemala
[0.9999924302101135],1,24,Without-pay,HS-grad,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,4386,1564,65,Guatemala
[0.9943908452987671],1,27,State-gov,11th,14,Married-spouse-absent,Other-service,Own-child,Other,Male,3820,1587,31,Guatemala
[0.9892163872718811],1,28,Private,Masters,15,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Female,3103,1816,32,Guatemala
[1.0],1,30,Local-gov,9th,1,Married-AF-spouse,Transport-moving,Other-relative,Asian-Pac-Islander,Male,12099,1828,35,Guatemala
[0.9892553091049194],1,37,Self-emp-inc,Some-college,11,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Female,3103,2008,40,Guatemala
[0.9973936080932617],1,17,Self-emp-not-inc,Assoc-acdm,4,Married-civ-spouse,Machine-op-inspct,Own-child,Black,Female,4386,2507,44,Guatemala
[0.9921165704727173],1,22,Federal-gov,7th-8th,4,Divorced,Tech-support,Own-child,Other,Male,3820,1894,50,Guatemala
